"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car340289-2021-Pass2-Z12-1623_0_20210930_184800_000";"0.0";3.8;18.0;"noise";0.83;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_184805_000";0.1;1.7;14.0;"noise";0.98;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_184814_999";0.2;3.1;13.0;"noise";0.97;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_184819_998";2.7;2.8;14.0;"noise";0.95;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_184824_998";2.3;2.4;13.0;"noise";0.94;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_184829_997";0.7;4.9;85.0;"noise";0.92;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_184834_997";4.0;4.1;12.0;"noise";0.83;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_184839_997";2.0;2.1;13.0;"noise";0.32;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185318_000";0.8;2.6;12.0;"noise";0.24;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185324_000";0.1;1.2;11.0;"noise";0.9;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185720_000";0.1;3.0;11.0;"noise";0.69;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185725_000";0.8;0.9;11.0;"noise";0.12;"piaf";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185734_999";0.5;4.3;11.0;"noise";0.91;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185739_998";0.5;4.4;10.0;"noise";0.86;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185744_998";0.8;4.4;10.0;"noise";0.55;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185749_997";"0.0";4.7;11.0;"noise";0.23;"Tetvir";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185754_997";3.1;4.5;10.0;"noise";0.73;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185759_997";"0.0";3.8;10.0;"noise";0.85;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185804_996";0.3;4.9;11.0;"noise";0.9;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185809_996";0.8;1.0;10.0;"noise";0.47;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_185946_000";1.3;1.4;7.0;"noise";0.81;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190026_000";0.9;2.1;15.0;"noise";0.84;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190036_000";"0.0";0.1;98.0;"noise";0.52;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190135_000";0.8;0.9;154.0;"noise";0.86;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190139_999";2.5;3.3;11.0;"noise";0.34;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190144_999";0.2;4.3;10.0;"noise";0.68;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190148_000";1.1;1.4;12.0;"noise";0.42;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190154_998";0.3;2.4;12.0;"noise";0.79;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190156_000";0.2;1.4;11.0;"noise";0.11;"Phogri";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190208_000";0.6;0.7;12.0;"noise";0.95;"";"";"";"";""
"Car340289-2021-Pass2-Z12-1623_0_20210930_190212_000";0.4;0.6;10.0;"noise";0.63;"";"";"";"";""
